"id","rank","name","symbol","slug","is_active","first_historical_data","last_historical_data"
1,1,"Bitcoin","BTC","bitcoin",1,2010-07-13,2024-04-26
1027,2,"Ethereum","ETH","ethereum",1,2015-08-07,2024-04-26
825,3,"Tether USDt","USDT","tether",1,2015-02-25,2024-04-26
1839,4,"BNB","BNB","bnb",1,2017-07-25,2024-04-26
5426,5,"Solana","SOL","solana",1,2020-04-10,2024-04-26
3408,6,"USDC","USDC","usd-coin",1,2018-10-08,2024-04-26
52,7,"XRP","XRP","xrp",1,2013-08-04,2024-04-26
74,8,"Dogecoin","DOGE","dogecoin",1,2013-12-15,2024-04-26
11419,9,"Toncoin","TON","toncoin",1,2021-08-26,2024-04-26
2010,10,"Cardano","ADA","cardano",1,2017-10-01,2024-04-26
5994,11,"Shiba Inu","SHIB","shiba-inu",1,2020-08-01,2024-04-26
5805,12,"Avalanche","AVAX","avalanche",1,2020-09-22,2024-04-26
1958,13,"TRON","TRX","tron",1,2017-09-13,2024-04-26
6636,14,"Polkadot","DOT","polkadot-new",1,2020-08-20,2024-04-26
1831,15,"Bitcoin Cash","BCH","bitcoin-cash",1,2017-07-23,2024-04-26
1975,16,"Chainlink","LINK","chainlink",1,2017-09-20,2024-04-26
6535,17,"NEAR Protocol","NEAR","near-protocol",1,2020-10-13,2024-04-26
3890,18,"Polygon","MATIC","polygon",1,2019-04-28,2024-04-26
2,19,"Litecoin","LTC","litecoin",1,2013-04-28,2024-04-26
8916,20,"Internet Computer","ICP","internet-computer",1,2021-05-10,2024-04-26
3957,21,"UNUS SED LEO","LEO","unus-sed-leo",1,2019-05-21,2024-04-26
4943,22,"Dai","DAI","multi-collateral-dai",1,2019-11-22,2024-04-26
7083,23,"Uniswap","UNI","uniswap",1,2020-09-17,2024-04-26
26081,24,"First Digital USD","FDUSD","first-digital-usd",1,2023-07-26,2024-04-26
4642,25,"Hedera","HBAR","hedera",1,2019-09-17,2024-04-26
1321,26,"Ethereum Classic","ETC","ethereum-classic",1,2016-07-24,2024-04-26
4847,27,"Stacks","STX","stacks",1,2019-10-28,2024-04-26
21794,28,"Aptos","APT","aptos",1,2022-10-19,2024-04-26
27075,29,"Mantle","MNT","mantle",1,2023-07-17,2024-04-26
3635,30,"Cronos","CRO","cronos",1,2018-12-14,2024-04-26
2280,31,"Filecoin","FIL","filecoin",1,2017-12-13,2024-04-26
512,32,"Stellar","XLM","stellar",1,2014-08-05,2024-04-26
5690,33,"Render","RNDR","render",1,2020-06-11,2024-04-26
3794,34,"Cosmos","ATOM","cosmos",1,2019-03-14,2024-04-26
24478,35,"Pepe","PEPE","pepe",1,2023-04-17,2024-04-26
3897,36,"OKB","OKB","okb",1,2019-04-30,2024-04-26
10603,37,"Immutable","IMX","immutable-x",1,2021-11-05,2024-04-26
28752,38,"dogwifhat","WIF","dogwifhat",1,2023-12-19,2024-04-26
22974,39,"Bittensor","TAO","bittensor",1,2023-03-05,2024-04-26
3077,40,"VeChain","VET","vechain",1,2018-08-03,2024-04-26
11841,41,"Arbitrum","ARB","arbitrum",1,2023-03-23,2024-04-26
20396,42,"Kaspa","KAS","kaspa",1,2022-06-01,2024-04-26
1518,43,"Maker","MKR","maker",1,2017-01-29,2024-04-26
6719,44,"The Graph","GRT","the-graph",1,2020-12-17,2024-04-26
11840,45,"Optimism","OP","optimism-ethereum",1,2022-05-31,2024-04-26
2416,46,"Theta Network","THETA","theta-network",1,2018-01-17,2024-04-26
7226,47,"Injective","INJ","injective",1,2020-10-20,2024-04-26
328,48,"Monero","XMR","monero",1,2014-05-21,2024-04-26
5632,49,"Arweave","AR","arweave",1,2020-05-27,2024-04-26
3513,50,"Fantom","FTM","fantom",1,2018-10-30,2024-04-26
23254,51,"Core","CORE","core-dao",1,2023-02-08,2024-04-26
3773,52,"Fetch.ai","FET","fetch",1,2019-03-02,2024-04-26
22861,53,"Celestia","TIA","celestia",1,2023-10-31,2024-04-26
4157,54,"THORChain","RUNE","thorchain",1,2019-07-23,2024-04-26
10804,55,"FLOKI","FLOKI","floki-inu",1,2021-07-10,2024-04-26
8000,56,"Lido DAO","LDO","lido-dao",1,2021-01-04,2024-04-26
23095,57,"Bonk","BONK","bonk1",1,2022-12-30,2024-04-26
23149,58,"Sei","SEI","sei",1,2023-08-15,2024-04-26
11092,59,"Bitget Token","BGB","bitget-token-new",1,2021-07-29,2024-04-26
4030,60,"Algorand","ALGO","algorand",1,2019-06-21,2024-04-26
20947,61,"Sui","SUI","sui",1,2023-05-03,2024-04-26
28298,62,"Beam","BEAM","onbeam",1,2023-10-27,2024-04-26
7080,63,"Gala","GALA","gala",1,2020-09-17,2024-04-26
4558,64,"Flow","FLOW","flow",1,2021-01-26,2024-04-26
29210,65,"Jupiter","JUP","jupiter-ag",1,2024-01-31,2024-04-26
7278,66,"Aave","AAVE","aave",1,2020-10-04,2024-04-26
9481,67,"Pendle","PENDLE","pendle",1,2021-04-29,2024-04-26
3155,68,"Quant","QNT","quant",1,2018-08-10,2024-04-26
1376,69,"Neo","NEO","neo",1,2016-09-09,2024-04-26
3602,70,"Bitcoin SV","BSV","bitcoin-sv",1,2018-11-09,2024-04-26
16086,71,"BitTorrent (New)","BTT","bittorrent-new",1,2022-01-11,2024-04-26
30171,72,"Ethena","ENA","ethena",1,2024-04-02,2024-04-26
7950,73,"Flare","FLR","flare",1,2023-01-10,2024-04-26
2424,74,"SingularityNET","AGIX","singularitynet",1,2018-01-19,2024-04-26
6892,75,"MultiversX","EGLD","multiversx-egld",1,2020-09-04,2024-04-26
21159,76,"Ondo","ONDO","ondo-finance",1,2024-01-18,2024-04-26
7431,77,"Akash Network","AKT","akash-network",1,2020-10-19,2024-04-26
29587,78,"Wormhole","W","wormhole",1,2024-04-03,2024-04-26
4066,79,"Chiliz","CHZ","chiliz",1,2019-07-01,2024-04-26
6783,80,"Axie Infinity","AXS","axie-infinity",1,2020-11-03,2024-04-26
10791,81,"eCash","XEC","ecash",1,2021-07-08,2024-04-26
6210,82,"The Sandbox","SAND","the-sandbox",1,2020-08-14,2024-04-26
28324,83,"dYdX (Native)","DYDX","dydx-chain",1,2023-10-31,2024-04-26
2011,84,"Tezos","XTZ","tezos",1,2017-10-02,2024-04-26
7334,85,"Conflux","CFX","conflux-network",1,2020-11-10,2024-04-26
2087,86,"KuCoin Token","KCS","kucoin-token",1,2017-10-24,2024-04-26
2586,87,"Synthetix","SNX","synthetix",1,2018-03-14,2024-04-26
13502,88,"Worldcoin","WLD","worldcoin-org",1,2023-07-24,2024-04-26
8646,89,"Mina","MINA","mina",1,2021-06-01,2024-04-26
14101,90,"Ronin","RON","ronin",1,2022-01-27,2024-04-26
1765,91,"EOS","EOS","eos",1,2017-07-01,2024-04-26
8425,92,"JasmyCoin","JASMY","jasmy",1,2021-02-11,2024-04-26
25028,93,"ORDI","ORDI","ordi",1,2023-05-08,2024-04-26
28177,94,"Pyth Network","PYTH","pyth-network",1,2023-11-20,2024-04-26
1966,95,"Decentraland","MANA","decentraland",1,2017-09-17,2024-04-26
22691,96,"Starknet","STRK","starknet-token",1,2024-02-20,2024-04-26
1659,97,"Gnosis","GNO","gnosis-gno",1,2017-05-01,2024-04-26
4948,98,"Nervos Network","CKB","nervos-network",1,2019-11-19,2024-04-26
18876,99,"ApeCoin","APE","apecoin-ape",1,2022-03-17,2024-04-26
3822,100,"Theta Fuel","TFUEL","theta-fuel",1,2019-03-28,2024-04-26
4846,101,"Kava","KAVA","kava",1,2019-10-25,2024-04-26
1720,102,"IOTA","IOTA","iota",1,2017-06-13,2024-04-26
4269,103,"GateToken","GT","gatetoken",1,2019-08-26,2024-04-26
19891,104,"USDD","USDD","usdd",1,2022-05-02,2024-04-26
7186,105,"PancakeSwap","CAKE","pancakeswap",1,2020-09-28,2024-04-26
9104,106,"AIOZ Network","AIOZ","aioz-network",1,2021-04-02,2024-04-26
4256,107,"Klaytn","KLAY","klaytn",1,2020-03-30,2024-04-26
2694,108,"Nexo","NEXO","nexo",1,2018-05-01,2024-04-26
5665,109,"Helium","HNT","helium",1,2020-06-08,2024-04-26
17799,110,"Axelar","AXL","axelar",1,2022-09-27,2024-04-26
7653,111,"Oasis Network","ROSE","oasis-network",1,2020-11-18,2024-04-26
23711,112,"Echelon Prime","PRIME","echelon-prime",1,2023-03-01,2024-04-26
4172,113,"Terra Classic","LUNC","terra-luna",1,2019-07-26,2024-04-26
28683,114,"SATS","1000SATS","sats",1,2023-12-12,2024-04-26
12220,115,"Osmosis","OSMO","osmosis",1,2021-10-04,2024-04-26
23121,116,"Blur","BLUR","blur-token",1,2023-02-13,2024-04-26
11156,117,"dYdX (ethDYDX)","ETHDYDX","dydx-ethdydx",1,2021-09-08,2024-04-26
7548,118,"WEMIX","WEMIX","wemix",1,2020-10-28,2024-04-26
2083,119,"Bitcoin Gold","BTG","bitcoin-gold",1,2017-10-23,2024-04-26
12885,120,"Astar","ASTR","astar",1,2022-01-18,2024-04-26
7501,121,"WOO","WOO","wootrade",1,2020-10-28,2024-04-26
29870,122,"BOOK OF MEME","BOME","book-of-meme",1,2024-03-14,2024-04-26
12387,123,"Ribbon Finance","RBN","ribbon-finance",1,2021-10-07,2024-04-26
2777,124,"IoTeX","IOTX","iotex",1,2018-05-25,2024-04-26
5176,125,"Tether Gold","XAUt","tether-gold",1,2020-02-07,2024-04-26
6536,126,"MANTRA","OM","mantra",1,2020-08-18,2024-04-26
2634,127,"XDC Network","XDC","xdc-network",1,2018-04-13,2024-04-26
11948,128,"Radix","XRD","radix-protocol",1,2021-09-17,2024-04-26
3911,129,"Ocean Protocol","OCEAN","ocean-protocol",1,2019-05-06,2024-04-26
6538,130,"Curve DAO Token","CRV","curve-dao-token",1,2020-08-14,2024-04-26
3783,131,"Ankr","ANKR","ankr",1,2019-03-06,2024-04-26
30126,132,"cat in a dogs world","MEW","mew",1,2024-03-26,2024-04-26
28932,133,"Dymension","DYM","dymension",1,2024-01-29,2024-04-26
2563,134,"TrueUSD","TUSD","trueusd",1,2018-03-06,2024-04-26
8104,135,"1inch Network","1INCH","1inch",1,2020-12-24,2024-04-26
4195,136,"FTX Token","FTT","ftx-token",1,2019-07-31,2024-04-26
5691,137,"SKALE","SKL","skale-network",1,2020-11-29,2024-04-26
4041,138,"MX TOKEN","MX","mx-token",1,2019-09-24,2024-04-26
9816,139,"APENFT","NFT","apenft",1,2021-05-21,2024-04-26
18069,140,"GMT","GMT","green-metaverse-token",1,2022-03-09,2024-04-26
8290,141,"SuperVerse","SUPER","superfarm",1,2021-02-22,2024-04-26
3640,142,"Livepeer","LPT","livepeer",1,2018-12-19,2024-04-26
2130,143,"Enjin Coin","ENJ","enjin-coin",1,2017-11-01,2024-04-26
7326,144,"DeXe","DEXE","dexe",1,2020-10-06,2024-04-26
2577,145,"Ravencoin","RVN","ravencoin",1,2018-03-10,2024-04-26
13855,146,"Ethereum Name Service","ENS","ethereum-name-service",1,2021-11-09,2024-04-26
20314,147,"Terra","LUNA","terra-luna-v2",1,2022-05-28,2024-04-26
5692,148,"Compound","COMP","compound",1,2020-06-16,2024-04-26
11877,149,"Galxe","GAL","galxe",1,2022-05-05,2024-04-26
12999,150,"ssv.network","SSV","ssv-network",1,2021-10-22,2024-04-26
5964,151,"Trust Wallet Token","TWT","trust-wallet-token",1,2020-07-30,2024-04-26
13631,152,"Manta Network","MANTA","manta-network",1,2024-01-18,2024-04-26
2469,153,"Zilliqa","ZIL","zilliqa",1,2018-01-25,2024-04-26
2682,154,"Holo","HOT","holo",1,2018-04-30,2024-04-26
5567,155,"Celo","CELO","celo",1,2020-05-22,2024-04-26
27565,156,"Arkham","ARKM","arkham",1,2023-07-18,2024-04-26
1896,157,"0x Protocol","ZRX","0x",1,2017-08-16,2024-04-26
2943,158,"Rocket Pool","RPL","rocket-pool",1,2018-07-18,2024-04-26
2299,159,"aelf","ELF","aelf",1,2017-12-21,2024-04-26
4705,160,"PAX Gold","PAXG","pax-gold",1,2019-09-26,2024-04-26
8526,161,"Raydium","RAY","raydium",1,2021-02-21,2024-04-26
1042,162,"Siacoin","SC","siacoin",1,2015-08-26,2024-04-26
1684,163,"Qtum","QTUM","qtum",1,2017-05-24,2024-04-26
29073,164,"Altlayer","ALT","altlayer",1,2024-01-25,2024-04-26
21296,165,"EthereumPoW","ETHW","ethereum-pow",1,2022-08-08,2024-04-26
29814,166,"ether.fi","ETHFI","ether-fi-ethfi",1,2024-03-18,2024-04-26
21846,167,"SPACE ID","ID","space-id",1,2023-03-22,2024-04-26
1455,168,"Golem","GLM","golem-network-tokens",1,2016-11-18,2024-04-26
28541,169,"Jito","JTO","jito",1,2023-12-07,2024-04-26
1697,170,"Basic Attention Token","BAT","basic-attention-token",1,2017-06-01,2024-04-26
8119,171,"SafePal","SFP","safepal",1,2021-02-08,2024-04-26
2467,172,"OriginTrail","TRAC","origintrail",1,2018-01-25,2024-04-26
1437,173,"Zcash","ZEC","zcash",1,2016-10-29,2024-04-26
5899,174,"Casper","CSPR","casper",1,2021-05-11,2024-04-26
1785,175,"Gas","GAS","gas",1,2017-07-06,2024-04-26
8719,176,"Illuvium","ILV","illuvium",1,2021-03-31,2024-04-26
1934,177,"Loopring","LRC","loopring",1,2017-08-30,2024-04-26
131,178,"Dash","DASH","dash",1,2014-02-14,2024-04-26
