Country,Index Name,Ticker,Start Date
United States,S&P 500,^GSPC,03/01/1950
Japan,Nikkei 225,^N225,05/01/1965
Brazil,IBOVESPA,^BVSP,02/01/1968
United States,Dow Jones Industrial Average,^DJI,02/01/1970
United States,NASDAQ Composite,^IXIC,05/02/1971
Canada,S&P/TSX Composite Index,^GSPTSE,02/01/1979
South Korea,KOSPI Composite Index,^KS11,04/01/1980
United Kingdom,FTSE 100,^FTSE,03/01/1984
India,BSE SENSEX,^BSESN,03/04/1986
France,CAC 40,^FCHI,05/03/1987
Germany,DAX,^GDAXI,30/12/1987
Japan,TOPIX Index,^TPX,01/07/1988
India,NIFTY 50,^NSEI,03/11/1990
China,Shanghai Composite Index,000001.SS,19/12/1990
China,Shenzhen Component,399001.SZ,03/04/1991
Russia,MOEX Russia Index,IMOEX.ME,24/03/1997
Italy,FTSE MIB Index,FTSEMIB.MI,02/09/1997
China,CSI 300,000300.SS,08/04/2005
