id,rank,name,symbol,slug,is_active,first_historical_data,last_historical_data
1,1,Bitcoin,BTC,bitcoin,1,13/07/2010,26/04/2024
1027,2,Ethereum,ETH,ethereum,1,07/08/2015,26/04/2024
825,3,Tether USDt,USDT,tether,1,25/02/2015,26/04/2024
1839,4,BNB,BNB,bnb,1,25/07/2017,26/04/2024
5426,5,Solana,SOL,solana,1,10/04/2020,26/04/2024
3408,6,USDC,USDC,usd-coin,1,08/10/2018,26/04/2024
52,7,XRP,XRP,xrp,1,04/08/2013,26/04/2024
74,8,Dogecoin,DOGE,dogecoin,1,15/12/2013,26/04/2024
11419,9,Toncoin,TON,toncoin,1,26/08/2021,26/04/2024
2010,10,Cardano,ADA,cardano,1,01/10/2017,26/04/2024
5994,11,Shiba Inu,SHIB,shiba-inu,1,01/08/2020,26/04/2024
5805,12,Avalanche,AVAX,avalanche,1,22/09/2020,26/04/2024
1958,13,TRON,TRX,tron,1,13/09/2017,26/04/2024
6636,14,Polkadot,DOT,polkadot-new,1,20/08/2020,26/04/2024
1831,15,Bitcoin Cash,BCH,bitcoin-cash,1,23/07/2017,26/04/2024
1975,16,Chainlink,LINK,chainlink,1,20/09/2017,26/04/2024
6535,17,NEAR Protocol,NEAR,near-protocol,1,13/10/2020,26/04/2024
3890,18,Polygon,MATIC,polygon,1,28/04/2019,26/04/2024
2,19,Litecoin,LTC,litecoin,1,28/04/2013,26/04/2024
8916,20,Internet Computer,ICP,internet-computer,1,10/05/2021,26/04/2024
3957,21,UNUS SED LEO,LEO,unus-sed-leo,1,21/05/2019,26/04/2024
4943,22,Dai,DAI,multi-collateral-dai,1,22/11/2019,26/04/2024
7083,23,Uniswap,UNI,uniswap,1,17/09/2020,26/04/2024
26081,24,First Digital USD,FDUSD,first-digital-usd,1,26/07/2023,26/04/2024
4642,25,Hedera,HBAR,hedera,1,17/09/2019,26/04/2024
1321,26,Ethereum Classic,ETC,ethereum-classic,1,24/07/2016,26/04/2024
4847,27,Stacks,STX,stacks,1,28/10/2019,26/04/2024
21794,28,Aptos,APT,aptos,1,19/10/2022,26/04/2024
27075,29,Mantle,MNT,mantle,1,17/07/2023,26/04/2024
3635,30,Cronos,CRO,cronos,1,14/12/2018,26/04/2024
2280,31,Filecoin,FIL,filecoin,1,13/12/2017,26/04/2024
512,32,Stellar,XLM,stellar,1,05/08/2014,26/04/2024
5690,33,Render,RNDR,render,1,11/06/2020,26/04/2024
3794,34,Cosmos,ATOM,cosmos,1,14/03/2019,26/04/2024
24478,35,Pepe,PEPE,pepe,1,17/04/2023,26/04/2024
3897,36,OKB,OKB,okb,1,30/04/2019,26/04/2024
10603,37,Immutable,IMX,immutable-x,1,05/11/2021,26/04/2024
28752,38,dogwifhat,WIF,dogwifhat,1,19/12/2023,26/04/2024
22974,39,Bittensor,TAO,bittensor,1,05/03/2023,26/04/2024
3077,40,VeChain,VET,vechain,1,03/08/2018,26/04/2024
11841,41,Arbitrum,ARB,arbitrum,1,23/03/2023,26/04/2024
20396,42,Kaspa,KAS,kaspa,1,01/06/2022,26/04/2024
1518,43,Maker,MKR,maker,1,29/01/2017,26/04/2024
6719,44,The Graph,GRT,the-graph,1,17/12/2020,26/04/2024
11840,45,Optimism,OP,optimism-ethereum,1,31/05/2022,26/04/2024
2416,46,Theta Network,THETA,theta-network,1,17/01/2018,26/04/2024
7226,47,Injective,INJ,injective,1,20/10/2020,26/04/2024
328,48,Monero,XMR,monero,1,21/05/2014,26/04/2024
5632,49,Arweave,AR,arweave,1,27/05/2020,26/04/2024
3513,50,Fantom,FTM,fantom,1,30/10/2018,26/04/2024
23254,51,Core,CORE,core-dao,1,08/02/2023,26/04/2024
3773,52,Fetch.ai,FET,fetch,1,02/03/2019,26/04/2024
22861,53,Celestia,TIA,celestia,1,31/10/2023,26/04/2024
4157,54,THORChain,RUNE,thorchain,1,23/07/2019,26/04/2024
10804,55,FLOKI,FLOKI,floki-inu,1,10/07/2021,26/04/2024
8000,56,Lido DAO,LDO,lido-dao,1,04/01/2021,26/04/2024
23095,57,Bonk,BONK,bonk1,1,30/12/2022,26/04/2024
23149,58,Sei,SEI,sei,1,15/08/2023,26/04/2024
11092,59,Bitget Token,BGB,bitget-token-new,1,29/07/2021,26/04/2024
4030,60,Algorand,ALGO,algorand,1,21/06/2019,26/04/2024
20947,61,Sui,SUI,sui,1,03/05/2023,26/04/2024
28298,62,Beam,BEAM,onbeam,1,27/10/2023,26/04/2024
7080,63,Gala,GALA,gala,1,17/09/2020,26/04/2024
4558,64,Flow,FLOW,flow,1,26/01/2021,26/04/2024
29210,65,Jupiter,JUP,jupiter-ag,1,31/01/2024,26/04/2024
7278,66,Aave,AAVE,aave,1,04/10/2020,26/04/2024
9481,67,Pendle,PENDLE,pendle,1,29/04/2021,26/04/2024
3155,68,Quant,QNT,quant,1,10/08/2018,26/04/2024
1376,69,Neo,NEO,neo,1,09/09/2016,26/04/2024
3602,70,Bitcoin SV,BSV,bitcoin-sv,1,09/11/2018,26/04/2024
